Название ,безопасность,кредитки,дебетовые,премиальные,рубль ,доллар,евро,мультивалюта,кредит под залог недвижимости,кредит без залога,кредит под залог авто,рефинансирование,автокредит,депозиты,страхование,инвестиции,моб приложение,моб связь
Тинькофф банк,9,1,1,1,<5%,0.1%,0.1%,1,>7%,>9%,>8%,1,>10%,0,1,1,1,1
Сбербанк,10,1,1,1,<4%,0,0,0,1000,>10%,1000,1,1000,1,1,1,1,1
ВТБ,10,1,1,1,<4%,<0.5%,0,0,1000,>6%,1000,1,>1%,0,1,1,1,1
Газпромбанк,9,1,1,1,<4%,<0.6%,0,0,>12%,>7%,1000,1,>6%,1,1,1,1,0
Альфа0Банк,9,1,1,1,<5%,0.1%,0,0,1000,>7%,1000,1,>7%,1,0,1,1,0
Ак Барс Банк,7,1,1,1,<5%,0.1%,0,1,>11%,>9%,1000,1,1000,0,1,1,0,1
Банк Открытие,7,1,1,1,<4%,<0.3%,0,0,1000,>6%,1000,1,1000,1,1,1,1,0
Совкомбанк,7,1,1,1,<5%,0,0,0,>18%,>10%,>17%,0,>1%,1,1,1,1,0
Росбанк,7,1,1,1,<5%,0.1%,0,0,1000,>7%,1000,1,>2%,0,1,1,1,0
Райффайзенбанк,8,1,1,1,<4%,0,0,0,>11%,>9%,1000,1,>9%,0,1,0,1,0
Хоум Кредит Банк,6,1,1,0,<5%,0.10%,0.01%,0,1000,>8%,1000,1,>8%,0,1,1,1,0
Уралсиб,6,1,1,1,<5%,<0.4%,0,0,>12%,>8%,1000,1,>10%,0,1,1,0,0
Банк ДОМ.РФ,5,1,1,1,<5%,<0.3%,0.01%,0,1000,>8%,1000,1,1000,1,0,1,1,0
ЮниКредит Банк,7,1,1,1,<5%,<0.5%,0,0,1000,>8%,1000,0,>1%,0,0,0,1,0
СМП Банк,6,1,1,1,<5%,<0.6%,0,0,1000,>15%,1000,1,1000,0,1,0,1,0
Восточный Банк,4,1,1,1,<5%,0.1%,0.01%,0,>9%,>9%,1000,0,1000,0,1,1,1,0
УБРиР,5,1,1,1,<5%,0,0,0,1000,>7%,1000,1,1000,0,1,1,1,0
Русский Стандарт,5,1,1,1,<5%,0,0,0,1000,>8%,1000,0,1000,0,1,0,1,0
Абсолют Банк,4,1,1,0,<5%,<0.3%,0,0,1000,1000,1000,0,1000,0,0,1,1,0
Почта Банк,6,1,1,0,<5%,0,0,0,1000,1000,1000,0,1000,0,0,0,0,0
