Название банка,открытие и обслуживание счета,экспресс кредит,овердрафт,размещение средств в интернет банке,зарплатный проект,депозиты,интернет приложение,безопасность
Сбербанк,1,1,1,0,1,1,1,10
ВТБ,1,1,1,0,1,1,1,10
Газпромбанк,1,1,0,1,1,1,1,9
Альфа-Банк,1,1,1,1,1,0,1,9
Райффайзенбанк,1,1,1,1,0,1,1,8
Росбанк,1,1,1,0,1,1,1,7
Банк Открытие,1,1,1,0,1,1,1,7
ЮниКредит Банк,1,1,1,0,1,1,0,7
Ак Барс Банк,1,1,1,0,1,1,0,7
СМП Банк,1,1,1,0,1,1,1,6
Совкомбанк,1,1,0,0,1,1,0,7
Уралсиб,1,1,1,0,1,1,0,6
Банк ДОМ.РФ,1,0,0,0,1,1,0,5
Тинькофф Банк,0,0,0,0,0,0,0,9
Хоум Кредит Банк,0,0,0,0,0,0,0,6
Почта Банк,0,0,0,0,0,0,0,6
Русский Стандарт,0,0,0,0,0,0,0,5
УБРиР,0,0,0,0,0,0,0,5
Абсолют Банк,0,0,0,0,0,0,0,4
Восточный Банк,0,0,0,0,0,0,0,4
