Название,Открытие и обслуживание счета,Оборотный кредит,Кредитная линия под контракт,"Оборотная кредитная линия
Под залог недвижимости",Инвестиционная кредитная линия,Кредит для ИП на любые цели,Кредит для ИП под залог недвижимости,Овердрафт,депозиты,мобильный банк,Безопасность
Тинькофф Банк,1,>11%,>14%,>11%,>11%,>11%,>11%,1,1,1,9
Газпромбанк,1,>12%,>12%,>11%,>11%,>11%,>11%,1,1,1,9
Альфа-Банк,1,>13%,>12%,>9%,0,>10%,>10%,1,1,1,9
ВТБ,1,>11%,0,0,0,>8%,>8%,1,1,1,10
Сбербанк,1,>11%,0,0,>10%,0,0,1,1,1,10
Банк Открытие,1,>8%,>13%,>8%,>8%,>8%,0,1,1,1,7
Райффайзенбанк,1,0,0,>10%,0,>8%,>8%,1,1,1,8
УБРиР,1,>21%,>11%,>9%,>9%,>9%,>9%,1,1,1,5
Совкомбанк,1,0,0,>10%,0,>10%,>10%,1,1,1,7
Ак Барс Банк,1,0,>8%,>8%,>8%,>8%,0,1,1,0,7
Уралсиб,1,>15%,0,>11%,>11%,>11%,>11%,1,1,0,6
СМП Банк,1,0,>8%,>8%,>8%,0,>8%,1,1,1,6
Росбанк,1,0,0,>8%,>8%,0,0,1,1,1,7
ЮниКредит Банк,1,0,0,>10%,>10%,0,>10%,1,1,0,7
Почта Банк,1,0,0,0,0,>8%,>8%,0,1,0,6
Банк ДОМ.РФ,1,0,0,0,0,>10%,0,1,1,1,5
Абсолют Банк,1,0,>14%,>13%,>13%,0,0,1,1,0,4
Восточный Банк,1,0,>16%,>11%,0,0,0,1,1,1,4
Русский Стандарт,1,0,0,0,0,0,0,0,0,1,5
Хоум Кредит Банк,0,0,0,0,0,0,0,0,0,0,6
